Country,Date,Year,Month,Original_Value,Imputed_Value,Imputation_Method,In_Final_Test_Period
Singapore,1977-10-01,1977,10,,-0.09221957118174588,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-11-01,1977,11,,-0.0803365522342273,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-12-01,1977,12,,0.17976952917256805,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1978-01-01,1978,1,,0.23390328215570821,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1978-02-01,1978,2,,0.44251628145658983,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1978-03-01,1978,3,,0.4979703698783431,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1978-04-01,1978,4,,0.045095314434024286,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1978-06-01,1978,6,,0.013407263907308092,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1979-04-01,1979,4,,0.2563489846121322,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1979-06-01,1979,6,,0.08998671934687219,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1980-12-01,1980,12,,-0.04204682451444525,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-01-01,1981,1,,-0.7774736638219835,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-04-01,1981,4,,-0.08429755855006683,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-05-01,1981,5,,-0.02092145749663446,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-06-01,1981,6,,0.5679481481248414,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-07-01,1981,7,,0.25898965548935854,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-08-01,1981,8,,0.7673187993554307,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-09-01,1981,9,,-0.17804137469160222,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
